SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20132014,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,7624,564.18,591,310,52.5%,281,47.5%,550,93.1%,6,1.0%,20,3.4%,2,0.3%,2,0.3%,0,0.0%,11,1.9%,368,62.3%,49,8.3%,95.5%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,39,4.00,35.10,39.10,0.00,0.00,0.00,0.00,0.00,,39.10,2,0.0%,16.4,7.3%,36.6%,48.8%,0.0%,0.0%,93.0%,0.0%,1.4:1,100%,214,35,2,188,GRREC,902
20132014,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,6970,690.77,737,401,54.4%,336,45.6%,673,91.3%,20,2.7%,33,4.5%,2,0.3%,1,0.1%,1,0.1%,7,0.9%,388,52.6%,60,8.1%,93.7%,0.3%,1.2%,N/A,81,44.3%,80,43.7%,1,0.5%,N/A,N/A,N/A,N/A,25,13.7%,N/A,N/A,2,N/A,18:1,42,21.00,21.10,41.10,1.00,0.00,0.00,0.00,0.00,,42.10,3,0.7%,16.7,6.5%,41.3%,45.7%,0.0%,0.0%,94.0%,1.0%,2.1:1,100%,260,2,14,"1,500",GRREC,902
20132014,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,6248,561.23,573,300,52.4%,273,47.6%,525,91.6%,10,1.7%,20,3.5%,2,0.3%,0,0.0%,0,0.0%,16,2.8%,337,58.8%,55,9.6%,94.3%,1.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,36,11.00,25.00,36.00,0.00,0.00,0.00,0.00,0.00,,36.00,5,0.0%,16.2,4.5%,47.7%,43.2%,0.0%,0.0%,95.0%,0.0%,3.1:1,100%,340,20,4,460,GRREC,902
20132014,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,7109,610.83,649,337,51.9%,312,48.1%,576,88.8%,12,1.8%,30,4.6%,4,0.6%,0,0.0%,0,0.0%,27,4.2%,460,70.9%,35,5.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,39,1.00,37.80,38.80,0.00,0.00,0.00,0.00,0.00,,38.80,5,0.0%,14.5,9.1%,27.3%,54.5%,0.0%,0.0%,91.0%,0.0%,1.9:1,100%,800,97,10,750,GRREC,902
20132014,1,ADAIR,1,Adair County,12,Adair Youth Development Center,1012,1001012,210003001913,14277,41.55,40,35,87.5%,5,12.5%,28,70.0%,11,27.5%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,2.5%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:1,8,5.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,,8.00,,0.0%,14,0.0%,40.0%,60.0%,0.0%,0.0%,100.0%,0.0%,3.2:1,100%,8,0,0,0,GRREC,902
20132014,1,ADAIR,1,Adair County,,---District Total---,1,,,9312,2468.56,2590,1383,53.4%,1207,46.6%,"2,352",90.8%,59,2.3%,103,4.0%,10,0.4%,3,0.1%,1,0.0%,62,2.4%,"1,553",60.0%,199,7.7%,94.8%,0.5%,0.8%,N/A,81,44.3%,80,43.7%,1,0.5%,N/A,N/A,N/A,N/A,25,13.7%,N/A,N/A,2,N/A,16:1,164,42.00,122.00,163.00,1.00,0.00,0.00,0.00,0.00,,164.00,16,0.1%,15.9,6.7%,38.3%,48.3%,0.0%,0.0%,93.0%,2.0%,2:1,100%,1622,154,30,"2,898",GRREC,902
20132014,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,6828,620.16,639,319,49.9%,320,50.1%,603,94.4%,7,1.1%,17,2.7%,2,0.3%,0,0.0%,0,0.0%,10,1.6%,365,57.1%,50,7.8%,95.6%,0.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,39,4.25,34.25,37.50,1.00,0.00,0.00,0.00,0.00,,38.50,7,1.0%,12.4,13.2%,42.1%,31.6%,0.0%,0.0%,87.0%,1.0%,1.7:1,100%,532,27,0,149,GRREC,902
20132014,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,7780,887.62,926,460,49.7%,466,50.3%,863,93.2%,6,0.6%,34,3.7%,5,0.5%,0,0.0%,0,0.0%,18,1.9%,575,62.1%,60,6.5%,94.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,64,0.25,63.25,63.50,0.00,0.00,0.00,0.00,0.00,,63.50,2,0.0%,12.4,10.5%,60.5%,18.4%,0.0%,0.0%,89.0%,1.0%,2.2:1,100%,772,19,4,"1,385",GRREC,902
20132014,2,ALLEN,5,Allen County,901,Allen County Vocational Education Center,5901,2005901,210007002061,,,527,250,47.4%,277,52.6%,239,45.4%,4,0.8%,0,0.0%,2,0.4%,0,0.0%,0,0.0%,5,0.9%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,0,0,0,0,GRREC,902
20132014,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,8569,757.63,799,429,53.7%,370,46.3%,754,94.4%,9,1.1%,20,2.5%,2,0.3%,2,0.3%,0,0.0%,12,1.5%,386,48.3%,52,6.5%,93.3%,1.4%,1.7%,N/A,78,39.6%,76,38.6%,2,1.0%,N/A,N/A,N/A,N/A,39,19.8%,N/A,N/A,17,N/A,16:1,51,17.88,33.25,49.75,0.38,1.00,0.00,0.00,0.00,,51.13,5,0.0%,11,12.3%,47.4%,28.1%,0.0%,0.0%,88.0%,0.0%,1.6:1,100%,342,22,0,"6,253",GRREC,902
