Fiscal Year,District,Rank,Years,,I,II,III
2012 - 2013,001 Adair County,III,16,,43385,0,0
2012 - 2013,001 Adair County,III,17,,43385,0,0
2012 - 2013,001 Adair County,III,18,,43385,0,0
2012 - 2013,001 Adair County,III,19,,43385,0,0
2012 - 2013,001 Adair County,III,20,,47898,0,0
2012 - 2013,001 Adair County,III,21,,47898,0,0
2012 - 2013,001 Adair County,III,22,,47898,0,0
2012 - 2013,001 Adair County,III,23,,47898,0,0
2012 - 2013,001 Adair County,III,24,,47898,0,0
2012 - 2013,001 Adair County,III,25,,47898,0,0
2012 - 2013,001 Adair County,III,26,,47898,0,0
2012 - 2013,001 Adair County,III,27,,47898,0,0
2012 - 2013,001 Adair County,III,28,,47898,0,0
2012 - 2013,001 Adair County,III,29,,47898,0,0
2012 - 2013,001 Adair County,III,30,,47898,0,0
2012 - 2013,001 Adair County,III,31,,47898,0,0
2012 - 2013,001 Adair County,III,32,,47898,0,0
2012 - 2013,001 Adair County,III,33,,47898,0,0
2012 - 2013,001 Adair County,III,34,,47898,0,0
2012 - 2013,001 Adair County,III,35,,47898,0,0
2012 - 2013,001 Adair County,III,36,,47898,0,0
2012 - 2013,001 Adair County,III,37,,47898,0,0
2012 - 2013,001 Adair County,III,38,,47898,0,0
2012 - 2013,001 Adair County,III,39,,47898,0,0
2012 - 2013,001 Adair County,III,40,,47898,0,0
2012 - 2013,001 Adair County,IV,0,,29347,0,0
2012 - 2013,001 Adair County,IV,1,,29347,0,0
2012 - 2013,001 Adair County,IV,2,,29347,0,0
2012 - 2013,001 Adair County,IV,3,,29347,0,0
2012 - 2013,001 Adair County,IV,4,,29347,0,0
2012 - 2013,001 Adair County,IV,5,,29347,0,0
2012 - 2013,001 Adair County,IV,6,,29347,0,0
2012 - 2013,001 Adair County,IV,7,,29347,0,0
2012 - 2013,001 Adair County,IV,8,,29347,0,0
2012 - 2013,001 Adair County,IV,9,,29347,0,0
2012 - 2013,001 Adair County,IV,10,,29347,0,0
2012 - 2013,001 Adair County,IV,11,,29347,0,0
2012 - 2013,001 Adair County,IV,12,,29347,0,0
2012 - 2013,001 Adair County,IV,13,,29347,0,0
2012 - 2013,001 Adair County,IV,14,,29347,0,0
2012 - 2013,001 Adair County,IV,15,,29347,0,0
2012 - 2013,001 Adair County,IV,16,,29347,0,0
2012 - 2013,001 Adair County,IV,17,,29347,0,0
2012 - 2013,001 Adair County,IV,18,,29347,0,0
2012 - 2013,001 Adair County,IV,19,,29347,0,0
2012 - 2013,001 Adair County,IV,20,,29347,0,0
2012 - 2013,001 Adair County,IV,21,,29347,0,0
2012 - 2013,001 Adair County,IV,22,,29347,0,0
2012 - 2013,001 Adair County,IV,23,,29347,0,0
2012 - 2013,001 Adair County,IV,24,,29347,0,0
2012 - 2013,001 Adair County,IV,25,,29347,0,0
2012 - 2013,001 Adair County,IV,26,,29347,0,0
2012 - 2013,001 Adair County,IV,27,,29347,0,0
2012 - 2013,001 Adair County,IV,28,,29347,0,0
2012 - 2013,001 Adair County,IV,29,,29347,0,0
2012 - 2013,001 Adair County,IV,30,,29347,0,0
2012 - 2013,001 Adair County,IV,31,,29347,0,0
2012 - 2013,001 Adair County,IV,32,,29347,0,0
2012 - 2013,001 Adair County,IV,33,,29347,0,0
2012 - 2013,001 Adair County,IV,34,,29347,0,0
2012 - 2013,001 Adair County,IV,35,,29347,0,0
2012 - 2013,001 Adair County,IV,36,,29347,0,0
2012 - 2013,001 Adair County,IV,37,,29347,0,0
2012 - 2013,001 Adair County,IV,38,,29347,0,0
2012 - 2013,001 Adair County,IV,39,,29347,0,0
2012 - 2013,001 Adair County,IV,40,,29347,0,0
2012 - 2013,001 Adair County,V,0,,27432,0,0
2012 - 2013,001 Adair County,V,1,,27432,0,0
2012 - 2013,001 Adair County,V,2,,27432,0,0
2012 - 2013,001 Adair County,V,3,,27432,0,0
2012 - 2013,001 Adair County,V,4,,27432,0,0
2012 - 2013,001 Adair County,V,5,,27432,0,0
2012 - 2013,001 Adair County,V,6,,27432,0,0
2012 - 2013,001 Adair County,V,7,,27432,0,0
2012 - 2013,001 Adair County,V,8,,27432,0,0
2012 - 2013,001 Adair County,V,9,,27432,0,0
2012 - 2013,001 Adair County,V,10,,27432,0,0
2012 - 2013,001 Adair County,V,11,,27432,0,0
2012 - 2013,001 Adair County,V,12,,27432,0,0
2012 - 2013,001 Adair County,V,13,,27432,0,0
2012 - 2013,001 Adair County,V,14,,27432,0,0
2012 - 2013,001 Adair County,V,15,,27432,0,0
2012 - 2013,001 Adair County,V,16,,27432,0,0
2012 - 2013,001 Adair County,V,17,,27432,0,0
2012 - 2013,001 Adair County,V,18,,27432,0,0
2012 - 2013,001 Adair County,V,19,,27432,0,0
2012 - 2013,001 Adair County,V,20,,27432,0,0
2012 - 2013,001 Adair County,V,21,,27432,0,0
2012 - 2013,001 Adair County,V,22,,27432,0,0
2012 - 2013,001 Adair County,V,23,,27432,0,0
2012 - 2013,001 Adair County,V,24,,27432,0,0
2012 - 2013,001 Adair County,V,25,,27432,0,0
2012 - 2013,001 Adair County,V,26,,27432,0,0
2012 - 2013,001 Adair County,V,27,,27432,0,0
2012 - 2013,001 Adair County,V,28,,27432,0,0
2012 - 2013,001 Adair County,V,29,,27432,0,0
2012 - 2013,001 Adair County,V,30,,27432,0,0
2012 - 2013,001 Adair County,V,31,,27432,0,0
2012 - 2013,001 Adair County,V,32,,27432,0,0
2012 - 2013,001 Adair County,V,33,,27432,0,0
2012 - 2013,001 Adair County,V,34,,27432,0,0
2012 - 2013,001 Adair County,V,35,,27432,0,0
2012 - 2013,001 Adair County,V,36,,27432,0,0
2012 - 2013,001 Adair County,V,37,,27432,0,0
2012 - 2013,001 Adair County,V,38,,27432,0,0
2012 - 2013,001 Adair County,V,39,,27432,0,0
2012 - 2013,001 Adair County,V,40,,27432,0,0
2012 - 2013,005 Allen County,I,0,,43437,45552,0
2012 - 2013,005 Allen County,I,1,,43521,45638,0
2012 - 2013,005 Allen County,I,2,,43612,45731,0
2012 - 2013,005 Allen County,I,3,,43694,45814,0
2012 - 2013,005 Allen County,I,4,,47782,49902,0
2012 - 2013,005 Allen County,I,5,,47866,49988,0
2012 - 2013,005 Allen County,I,6,,47953,50077,0
2012 - 2013,005 Allen County,I,7,,48037,50161,0
2012 - 2013,005 Allen County,I,8,,48122,50249,0
2012 - 2013,005 Allen County,I,9,,48207,50335,0
2012 - 2013,005 Allen County,I,10,,53591,55715,0
2012 - 2013,005 Allen County,I,11,,53675,55802,0
2012 - 2013,005 Allen County,I,12,,53760,55886,0
2012 - 2013,005 Allen County,I,13,,53843,55972,0
2012 - 2013,005 Allen County,I,14,,53926,56058,0
2012 - 2013,005 Allen County,I,15,,55118,57248,0
2012 - 2013,005 Allen County,I,16,,55202,57334,0
2012 - 2013,005 Allen County,I,17,,55290,57421,0
2012 - 2013,005 Allen County,I,18,,55374,57510,0
2012 - 2013,005 Allen County,I,19,,55462,57598,0
2012 - 2013,005 Allen County,I,20,,56319,58457,0
2012 - 2013,005 Allen County,I,21,,56406,58545,0
2012 - 2013,005 Allen County,I,22,,56494,58634,0
2012 - 2013,005 Allen County,I,23,,56581,58722,0
2012 - 2013,005 Allen County,I,24,,56667,58811,0
2012 - 2013,005 Allen County,I,25,,57334,59478,0
2012 - 2013,005 Allen County,I,26,,57451,59594,0
2012 - 2013,005 Allen County,I,27,,57566,59708,0
2012 - 2013,005 Allen County,I,28,,57680,59827,0
2012 - 2013,005 Allen County,I,29,,57797,59942,0
2012 - 2013,005 Allen County,I,30,,59531,61678,0
2012 - 2013,005 Allen County,I,31,,59531,61678,0
2012 - 2013,005 Allen County,I,32,,59531,61678,0
2012 - 2013,005 Allen County,I,33,,59531,61678,0
2012 - 2013,005 Allen County,I,34,,59531,61678,0
2012 - 2013,005 Allen County,I,35,,59531,61678,0
2012 - 2013,005 Allen County,I,36,,59531,61678,0
2012 - 2013,005 Allen County,I,37,,59531,61678,0
2012 - 2013,005 Allen County,I,38,,59531,61678,0
2012 - 2013,005 Allen County,I,39,,59531,61678,0
2012 - 2013,005 Allen County,I,40,,59531,61678,0
2012 - 2013,005 Allen County,II,0,,39679,0,0
2012 - 2013,005 Allen County,II,1,,39764,0,0
2012 - 2013,005 Allen County,II,2,,39846,0,0
2012 - 2013,005 Allen County,II,3,,39929,0,0
2012 - 2013,005 Allen County,II,4,,43375,0,0
2012 - 2013,005 Allen County,II,5,,43461,0,0
2012 - 2013,005 Allen County,II,6,,43544,0,0
2012 - 2013,005 Allen County,II,7,,43630,0,0
2012 - 2013,005 Allen County,II,8,,43717,0,0
2012 - 2013,005 Allen County,II,9,,43801,0,0
2012 - 2013,005 Allen County,II,10,,49589,0,0
2012 - 2013,005 Allen County,II,11,,49675,0,0
2012 - 2013,005 Allen County,II,12,,49759,0,0
2012 - 2013,005 Allen County,II,13,,49843,0,0
2012 - 2013,005 Allen County,II,14,,49929,0,0
2012 - 2013,005 Allen County,II,15,,51136,0,0
2012 - 2013,005 Allen County,II,16,,51222,0,0
2012 - 2013,005 Allen County,II,17,,51307,0,0
2012 - 2013,005 Allen County,II,18,,51390,0,0
2012 - 2013,005 Allen County,II,19,,51477,0,0
2012 - 2013,005 Allen County,II,20,,53108,0,0
2012 - 2013,005 Allen County,II,21,,53197,0,0
2012 - 2013,005 Allen County,II,22,,53283,0,0
2012 - 2013,005 Allen County,II,23,,53369,0,0
2012 - 2013,005 Allen County,II,24,,53457,0,0
2012 - 2013,005 Allen County,II,25,,54122,0,0
2012 - 2013,005 Allen County,II,26,,54238,0,0
2012 - 2013,005 Allen County,II,27,,54353,0,0
2012 - 2013,005 Allen County,II,28,,54469,0,0
2012 - 2013,005 Allen County,II,29,,54585,0,0
2012 - 2013,005 Allen County,II,30,,56321,0,0
2012 - 2013,005 Allen County,II,31,,56321,0,0
2012 - 2013,005 Allen County,II,32,,56321,0,0
2012 - 2013,005 Allen County,II,33,,56321,0,0
2012 - 2013,005 Allen County,II,34,,56321,0,0
2012 - 2013,005 Allen County,II,35,,56321,0,0
2012 - 2013,005 Allen County,II,36,,56321,0,0
2012 - 2013,005 Allen County,II,37,,56321,0,0
2012 - 2013,005 Allen County,II,38,,56321,0,0
2012 - 2013,005 Allen County,II,39,,56321,0,0
2012 - 2013,005 Allen County,II,40,,56321,0,0
2012 - 2013,005 Allen County,III,0,,35546,0,0
2012 - 2013,005 Allen County,III,1,,35627,0,0
2012 - 2013,005 Allen County,III,2,,35709,0,0
2012 - 2013,005 Allen County,III,3,,35789,0,0
2012 - 2013,005 Allen County,III,4,,39444,0,0
2012 - 2013,005 Allen County,III,5,,39527,0,0
2012 - 2013,005 Allen County,III,6,,39607,0,0
2012 - 2013,005 Allen County,III,7,,39690,0,0
2012 - 2013,005 Allen County,III,8,,39773,0,0
2012 - 2013,005 Allen County,III,9,,39857,0,0
2012 - 2013,005 Allen County,III,10,,45430,0,0
2012 - 2013,005 Allen County,III,11,,45516,0,0
2012 - 2013,005 Allen County,III,12,,45597,0,0
2012 - 2013,005 Allen County,III,13,,45684,0,0
2012 - 2013,005 Allen County,III,14,,45772,0,0
2012 - 2013,005 Allen County,III,15,,46976,0,0
2012 - 2013,005 Allen County,III,16,,47062,0,0
2012 - 2013,005 Allen County,III,17,,47150,0,0
2012 - 2013,005 Allen County,III,18,,47235,0,0
2012 - 2013,005 Allen County,III,19,,47318,0,0
2012 - 2013,005 Allen County,III,20,,49723,0,0
2012 - 2013,005 Allen County,III,21,,49808,0,0
2012 - 2013,005 Allen County,III,22,,49895,0,0
2012 - 2013,005 Allen County,III,23,,49979,0,0
2012 - 2013,005 Allen County,III,24,,50063,0,0
2012 - 2013,005 Allen County,III,25,,50727,0,0
2012 - 2013,005 Allen County,III,26,,50844,0,0
2012 - 2013,005 Allen County,III,27,,50959,0,0
2012 - 2013,005 Allen County,III,28,,51074,0,0
2012 - 2013,005 Allen County,III,29,,51190,0,0
2012 - 2013,005 Allen County,III,30,,52925,0,0
2012 - 2013,005 Allen County,III,31,,52925,0,0
2012 - 2013,005 Allen County,III,32,,52925,0,0
2012 - 2013,005 Allen County,III,33,,52925,0,0
2012 - 2013,005 Allen County,III,34,,52925,0,0
2012 - 2013,005 Allen County,III,35,,52925,0,0
2012 - 2013,005 Allen County,III,36,,52925,0,0
2012 - 2013,005 Allen County,III,37,,52925,0,0
2012 - 2013,005 Allen County,III,38,,52925,0,0
2012 - 2013,005 Allen County,III,39,,52925,0,0
2012 - 2013,005 Allen County,III,40,,52925,0,0
2012 - 2013,005 Allen County,IV,0,,30656,0,0
2012 - 2013,005 Allen County,IV,1,,30656,0,0
2012 - 2013,005 Allen County,IV,2,,30656,0,0
2012 - 2013,005 Allen County,IV,3,,30656,0,0
2012 - 2013,005 Allen County,IV,4,,30656,0,0
2012 - 2013,005 Allen County,IV,5,,30656,0,0
2012 - 2013,005 Allen County,IV,6,,30656,0,0
2012 - 2013,005 Allen County,IV,7,,30656,0,0
2012 - 2013,005 Allen County,IV,8,,30656,0,0
2012 - 2013,005 Allen County,IV,9,,30656,0,0
2012 - 2013,005 Allen County,IV,10,,30656,0,0
2012 - 2013,005 Allen County,IV,11,,30656,0,0
2012 - 2013,005 Allen County,IV,12,,30656,0,0
2012 - 2013,005 Allen County,IV,13,,30656,0,0
2012 - 2013,005 Allen County,IV,14,,30656,0,0
2012 - 2013,005 Allen County,IV,15,,30656,0,0
2012 - 2013,005 Allen County,IV,16,,30656,0,0
2012 - 2013,005 Allen County,IV,17,,30656,0,0
2012 - 2013,005 Allen County,IV,18,,30656,0,0
2012 - 2013,005 Allen County,IV,19,,30656,0,0
2012 - 2013,005 Allen County,IV,20,,30656,0,0
2012 - 2013,005 Allen County,IV,21,,30656,0,0
2012 - 2013,005 Allen County,IV,22,,30656,0,0
2012 - 2013,005 Allen County,IV,23,,30656,0,0
2012 - 2013,005 Allen County,IV,24,,30656,0,0
2012 - 2013,005 Allen County,IV,25,,30656,0,0
2012 - 2013,005 Allen County,IV,26,,30656,0,0
2012 - 2013,005 Allen County,IV,27,,30656,0,0
2012 - 2013,005 Allen County,IV,28,,30656,0,0
2012 - 2013,005 Allen County,IV,29,,30656,0,0
2012 - 2013,005 Allen County,IV,30,,30656,0,0
2012 - 2013,005 Allen County,IV,31,,30656,0,0
2012 - 2013,005 Allen County,IV,32,,30656,0,0
2012 - 2013,005 Allen County,IV,33,,30656,0,0
2012 - 2013,005 Allen County,IV,34,,30656,0,0
2012 - 2013,005 Allen County,IV,35,,30656,0,0
2012 - 2013,005 Allen County,IV,36,,30656,0,0
2012 - 2013,005 Allen County,IV,37,,30656,0,0
2012 - 2013,005 Allen County,IV,38,,30656,0,0
2012 - 2013,005 Allen County,IV,39,,30656,0,0
2012 - 2013,005 Allen County,IV,40,,30656,0,0
2012 - 2013,005 Allen County,V,0,,29318,0,0
2012 - 2013,005 Allen County,V,1,,29318,0,0
2012 - 2013,005 Allen County,V,2,,29318,0,0
2012 - 2013,005 Allen County,V,3,,29318,0,0
2012 - 2013,005 Allen County,V,4,,29318,0,0
2012 - 2013,005 Allen County,V,5,,29318,0,0
2012 - 2013,005 Allen County,V,6,,29318,0,0
2012 - 2013,005 Allen County,V,7,,29318,0,0
2012 - 2013,005 Allen County,V,8,,29318,0,0
2012 - 2013,005 Allen County,V,9,,29318,0,0
2012 - 2013,005 Allen County,V,10,,29318,0,0
2012 - 2013,005 Allen County,V,11,,29318,0,0
2012 - 2013,005 Allen County,V,12,,29318,0,0
2012 - 2013,005 Allen County,V,13,,29318,0,0
2012 - 2013,005 Allen County,V,14,,29318,0,0
2012 - 2013,005 Allen County,V,15,,29318,0,0
2012 - 2013,005 Allen County,V,16,,29318,0,0
2012 - 2013,005 Allen County,V,17,,29318,0,0
2012 - 2013,005 Allen County,V,18,,29318,0,0
2012 - 2013,005 Allen County,V,19,,29318,0,0
2012 - 2013,005 Allen County,V,20,,29318,0,0
2012 - 2013,005 Allen County,V,21,,29318,0,0
2012 - 2013,005 Allen County,V,22,,29318,0,0
2012 - 2013,005 Allen County,V,23,,29318,0,0
2012 - 2013,005 Allen County,V,24,,29318,0,0
2012 - 2013,005 Allen County,V,25,,29318,0,0
2012 - 2013,005 Allen County,V,26,,29318,0,0
2012 - 2013,005 Allen County,V,27,,29318,0,0
2012 - 2013,005 Allen County,V,28,,29318,0,0
2012 - 2013,005 Allen County,V,29,,29318,0,0
2012 - 2013,005 Allen County,V,30,,29318,0,0
2012 - 2013,005 Allen County,V,31,,29318,0,0
2012 - 2013,005 Allen County,V,32,,29318,0,0
2012 - 2013,005 Allen County,V,33,,29318,0,0
2012 - 2013,005 Allen County,V,34,,29318,0,0
2012 - 2013,005 Allen County,V,35,,29318,0,0
2012 - 2013,005 Allen County,V,36,,29318,0,0
2012 - 2013,005 Allen County,V,37,,29318,0,0
2012 - 2013,005 Allen County,V,38,,29318,0,0
2012 - 2013,005 Allen County,V,39,,29318,0,0
2012 - 2013,005 Allen County,V,40,,29318,0,0
2012 - 2013,006 Anchorage Independent,I,0,,47462,49600,0
2012 - 2013,006 Anchorage Independent,I,1,,48449,50587,0
2012 - 2013,006 Anchorage Independent,I,2,,49436,52562,0
2012 - 2013,006 Anchorage Independent,I,3,,50423,53559,0
2012 - 2013,006 Anchorage Independent,I,4,,51411,54574,0
2012 - 2013,006 Anchorage Independent,I,5,,52398,55587,0
2012 - 2013,006 Anchorage Independent,I,6,,53391,56602,0
2012 - 2013,006 Anchorage Independent,I,7,,54405,57615,0
2012 - 2013,006 Anchorage Independent,I,8,,55250,58630,0
2012 - 2013,006 Anchorage Independent,I,9,,56264,59644,0
2012 - 2013,006 Anchorage Independent,I,10,,57278,60658,0
2012 - 2013,006 Anchorage Independent,I,11,,60151,61672,0
2012 - 2013,006 Anchorage Independent,I,12,,61503,62686,0
2012 - 2013,006 Anchorage Independent,I,13,,62855,63700,0
2012 - 2013,006 Anchorage Independent,I,14,,64208,64714,0
2012 - 2013,006 Anchorage Independent,I,15,,65559,65729,0
2012 - 2013,006 Anchorage Independent,I,16,,66911,67081,0
2012 - 2013,006 Anchorage Independent,I,17,,68263,68601,0
2012 - 2013,006 Anchorage Independent,I,18,,69616,70123,0
2012 - 2013,006 Anchorage Independent,I,19,,70291,70798,0
2012 - 2013,006 Anchorage Independent,I,20,,71644,72151,0
2012 - 2013,006 Anchorage Independent,I,21,,71812,72826,0
2012 - 2013,006 Anchorage Independent,I,22,,71981,73502,0
2012 - 2013,006 Anchorage Independent,I,23,,72066,74178,0
2012 - 2013,006 Anchorage Independent,I,24,,72151,74854,0
2012 - 2013,006 Anchorage Independent,I,25,,72843,75869,0
2012 - 2013,006 Anchorage Independent,I,26,,72996,76882,0
2012 - 2013,006 Anchorage Independent,I,27,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,28,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,29,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,30,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,31,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,32,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,33,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,34,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,35,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,36,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,37,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,38,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,39,,74347,77727,0
2012 - 2013,006 Anchorage Independent,I,40,,74347,77727,0
2012 - 2013,006 Anchorage Independent,II,0,,42261,43841,0
2012 - 2013,006 Anchorage Independent,II,1,,43083,44498,0
2012 - 2013,006 Anchorage Independent,II,2,,43906,45158,0
2012 - 2013,006 Anchorage Independent,II,3,,44729,45815,0
2012 - 2013,006 Anchorage Independent,II,4,,45881,46472,0
2012 - 2013,006 Anchorage Independent,II,5,,46868,47789,0
2012 - 2013,006 Anchorage Independent,II,6,,47692,49106,0
2012 - 2013,006 Anchorage Independent,II,7,,48679,50423,0
2012 - 2013,006 Anchorage Independent,II,8,,49830,51739,0
2012 - 2013,006 Anchorage Independent,II,9,,51147,53055,0
2012 - 2013,006 Anchorage Independent,II,10,,52464,54405,0
2012 - 2013,006 Anchorage Independent,II,11,,55148,56772,0
2012 - 2013,006 Anchorage Independent,II,12,,56838,58122,0
2012 - 2013,006 Anchorage Independent,II,13,,58191,59475,0
2012 - 2013,006 Anchorage Independent,II,14,,59543,60828,0
2012 - 2013,006 Anchorage Independent,II,15,,60894,62180,0
2012 - 2013,006 Anchorage Independent,II,16,,62923,65221,0
2012 - 2013,006 Anchorage Independent,II,17,,65289,66911,0
2012 - 2013,006 Anchorage Independent,II,18,,65627,67081,0
2012 - 2013,006 Anchorage Independent,II,19,,65965,67248,0
2012 - 2013,006 Anchorage Independent,II,20,,66642,67925,0
2012 - 2013,006 Anchorage Independent,II,21,,66979,68263,0
2012 - 2013,006 Anchorage Independent,II,22,,67147,68601,0
2012 - 2013,006 Anchorage Independent,II,23,,67317,68939,0
2012 - 2013,006 Anchorage Independent,II,24,,67486,69109,0
2012 - 2013,006 Anchorage Independent,II,25,,67824,69277,0
2012 - 2013,006 Anchorage Independent,II,26,,67993,69616,0
2012 - 2013,006 Anchorage Independent,II,27,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,28,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,29,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,30,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,31,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,32,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,33,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,34,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,35,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,36,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,37,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,38,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,39,,69277,70967,0
2012 - 2013,006 Anchorage Independent,II,40,,69277,70967,0
2012 - 2013,006 Anchorage Independent,III,0,,37587,38903,0
2012 - 2013,006 Anchorage Independent,III,1,,38245,39727,0
2012 - 2013,006 Anchorage Independent,III,2,,38903,40549,0
2012 - 2013,006 Anchorage Independent,III,3,,39562,41373,0
